Communication_number,Social_unit,Part_exchange,Gesture_start_time,Duration_analysis_include,Mau_end_time,Outcome_time,Outcome,Sgn_ID,Rcp_ID,Signaller_age,Recipient_age,Goal_anon
100311ap2,Sonso,1_2,8.96,Include,9.56,16.52,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,10.4,Include,10.72,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,41.72,Include,42.92,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,28.04,Include,28.36,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,7.04,Include,7.52,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,36.08,Include,36.44,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap2,Sonso,1_2,2.08,Include,3.96,16.52,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,43.84,Include,44.76,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,24.68,Include,26.32,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
101860b,Sonso,2_2,48.56,Include,49.84,51.88,GoalRecipient,ID_145,ID_78,16,2,Goal_4
101331,Sonso,1_1,0.96,Include,1.8,1.84,Exclude,ID_145,ID_100,16,5,Goal_4
100491,Sonso,1_1,3.039,Include,5.999,6.599,GoalRecipient,ID_145,ID_134,16,28,Goal_11
100366,Sonso,1_1,5.72,Include,6.72,8.64,TimeExcludeRecipient,ID_145,ID_157,20,30,Goal_3
100133p1,Sonso,1_1,7,Include,9,NA,NoValue,ID_145,ID_157,19,29,Goal_26
102069,Sonso,1_1,3.039,ExcludeStart,3.119,4.999,TimeExcludeRecipient,ID_145,ID_157,17,27,Goal_3
100266b,Sonso,2_2,3.04,Include,3.44,4,GoalRecipient,ID_145,ID_157,19,29,Goal_15
100133p1,Sonso,1_1,0.08,ExcludeStart,0.8,NA,NoValue,ID_145,ID_157,19,29,Goal_26
100304,Sonso,1_1,3.16,Include,3.6,4,Exclude,ID_145,ID_157,19,29,Goal_3
